customerid;order_date;item;quantity;price
10330;1999-06-30;Pogo stick;1;28.00
10101;1999-06-30;Raft;1;58.00
10298;1999-07-01;Skateboard;1;33.00
10101;1999-07-01;Life Vest;4;125.00
10299;1999-07-06;Parachute;1;1250.00
10339;1999-07-27;Umbrella;1;4.50
10449;1999-08-13;Unicycle;1;180.79
10439;1999-08-14;Ski Poles;2;25.50
10101;1999-08-18;Rain Coat;1;18.30
10449;1999-09-01;Snow Shoes;1;45.00
10439;1999-09-18;Tent;1;88.00
10298;1999-09-19;Lantern;2;29.00
10410;1999-10-28;Sleeping Bag;1;89.22
10438;1999-11-01;Umbrella;1;6.75
10438;1999-11-02;Pillow;1;8.50
10298;1999-12-01;Helmet;1;22.00
10449;1999-12-15;Bicycle;1;380.50
10449;1999-12-22;Canoe;1;280.00
10101;1999-12-30;Hoola Hoop;3;14.75
10330;2000-01-01;Flashlight;4;28.00
10101;2000-01-02;Lantern;1;16.00
10299;2000-01-18;Inflatable Mattress;1;38.00
10438;2000-01-18;Tent;1;79.99
10413;2000-01-19;Lawnchair;4;32.00
10410;2000-01-30;Unicycle;1;192.50
10315;2000-02-02;Compass;1;8.00
10449;2000-02-29;Flashlight;1;4.50
10101;2000-03-08;Sleeping Bag;2;88.70
10298;2000-03-18;Pocket Knife;1;22.38
10449;2000-03-19;Canoe paddle;2;40.00
10298;2000-04-01;Ear Muffs;1;12.50
10330;2000-04-19;Shovel;1;16.75
